Array Size,Number of Key Comparisons,CPU time taken for sorting
1000,251192,442321
2000,1001867,1773049
3000,2256412,3858327
4000,3986343,6942873
5000,6247988,10715399
6000,8980905,15278498
7000,12262506,20820181
8000,15998219,27088403
9000,20299426,34305174
10000,25011402,42337450
11000,30232229,50909339
12000,36036725,60968733
13000,42271541,71521254
14000,48972336,83118444
15000,56296217,94922234
16000,64033923,107906703
17000,72242550,121824880
18000,81035625,136925959
19000,90292099,152272839
20000,99870236,168556350
21000,110204930,186415620
22000,121170766,204488459
23000,132262704,222915395
24000,144042863,244185039
25000,156266411,263593667
26000,168898160,285204521
27000,182296362,307246663
28000,196117309,330939318
29000,210364056,354300684
30000,224638571,378374320
31000,240323474,405595581
32000,256072355,431772129
33000,272209584,459432561
34000,288812218,488213558
35000,306235595,515675288
36000,323992724,544326849
37000,341953704,574619499
38000,360781180,606602418
39000,380022910,638980489
40000,399729930,672638939
41000,420281534,705929093
42000,441042988,741632892
43000,461985292,778214763
44000,484016908,815774932
45000,505640819,850351281
46000,528771665,889185713
47000,552138080,928519914
48000,576145628,977502022
49000,600672624,1012396559
50000,624863339,1054230050
