Array Size,Number of Key Comparisons,CPU time taken for sorting
1000,5044,147369
2000,11088,257718
3000,18076,344788
4000,24176,465471
5000,32004,584373
6000,39152,697501
7000,46180,812283
8000,52352,937614
9000,60796,1057656
10000,69008,1185225
11000,77012,1304982
12000,84304,1434262
13000,92036,1555459
14000,99360,1679164
15000,106364,1799378
16000,112704,1914630
17000,121188,2078136
18000,130592,2194073
19000,139580,2297436
20000,148016,2428911
21000,156508,2588853
22000,165024,2692060
23000,173052,2851418
24000,180608,2934611
25000,188476,3074453
26000,197072,3201651
27000,205068,3318458
28000,212720,3427823
29000,220044,3566069
30000,227728,3681991
31000,234708,3829931
32000,241408,3947678
33000,248588,4099993
34000,259376,4215160
35000,269364,4380491
36000,279184,4454603
37000,288292,4603383
38000,298160,4763183
39000,307140,4905919
40000,316032,5066132
41000,324084,5147800
42000,334016,5327058
43000,342996,5392346
44000,352048,5610021
45000,360124,5702252
46000,369104,5865886
47000,377212,6001965
48000,385216,6193654
49000,392388,6299341
50000,401952,6560238
