Array Size,Number of Key Comparisons,CPU time taken for sorting
1000,999,1867
2000,1999,3863
3000,2999,5687
4000,3999,7754
5000,4999,9550
6000,5999,11475
7000,6999,13214
8000,7999,15481
9000,8999,17576
10000,9999,19629
11000,10999,21553
12000,11999,23278
13000,12999,25416
14000,13999,27412
15000,14999,29194
16000,15999,31304
17000,16999,33499
18000,17999,35309
19000,18999,36892
20000,19999,38973
21000,20999,41140
22000,21999,42793
23000,22999,45616
24000,23999,46913
25000,24999,48168
26000,25999,50477
27000,26999,51959
28000,27999,54041
29000,28999,55965
30000,29999,58175
31000,30999,60142
32000,31999,61838
33000,32999,63620
34000,33999,65773
35000,34999,67540
36000,35999,69650
37000,36999,71931
38000,37999,73499
39000,38999,75965
40000,39999,77562
41000,40999,78916
42000,41999,81040
43000,42999,83677
44000,43999,85316
45000,44999,87412
46000,45999,89322
47000,46999,91118
48000,47999,93028
49000,48999,95095
50000,49999,96606
