Array Size,Number of Key Comparisons,CPU time taken for sorting
1000,499500,859439
2000,1999000,3488008
3000,4498500,7654730
4000,7998000,13735939
5000,12497500,21324612
6000,17997000,30478878
7000,24496500,41510854
8000,31996000,54232117
9000,40495500,68224891
10000,49995000,84534888
11000,60494500,101509600
12000,71994000,121743683
13000,84493500,142802452
14000,97993000,166023989
15000,112492500,189660450
16000,127992000,215273580
17000,144491500,243377559
18000,161991000,272244970
19000,180490500,303680124
20000,199990000,335891239
21000,220489500,371173272
22000,241989000,407777808
23000,264488500,444775314
24000,287988000,487012010
25000,312487500,525051421
26000,337987000,567610624
27000,364486500,613432976
28000,391986000,659069926
29000,420485500,705803263
30000,449985000,755918380
31000,480484500,808127414
32000,511984000,861883782
33000,544483500,914903389
34000,577983000,974530747
35000,612482500,1030761870
36000,647982000,1087489841
37000,684481500,1149525597
38000,721981000,1212402689
39000,760480500,1277469364
40000,799980000,1344587446
41000,840479500,1411092446
42000,881979000,1481561602
43000,924478500,1553693887
44000,967978000,1627330298
45000,1012477500,1700290590
46000,1057977000,1778923797
47000,1104476500,1857372315
48000,1151976000,1948020972
49000,1200475500,2021192866
50000,1249975000,2108167029
