Array Size,Number of Key Comparisons,CPU time taken for sorting
1000,8707,196592
2000,19406,375436
3000,30917,512613
4000,42822,710559
5000,55211,896488
6000,67842,1060422
7000,80682,1245467
8000,93672,1443585
9000,106975,1646791
10000,120446,1821131
11000,134041,2014501
12000,147698,2217365
13000,161471,2430864
14000,175362,2610949
15000,189303,2797819
16000,203289,3015423
17000,217533,3235750
18000,231953,3445969
19000,246417,3617772
20000,260906,3809731
21000,275425,4046964
22000,290072,4222844
23000,304716,4661345
24000,319375,4659706
25000,334105,4805963
26000,348954,5058720
27000,363831,5249667
28000,378706,5417848
29000,393617,5646215
30000,408598,5867041
31000,423573,6098487
32000,438561,6291971
33000,453640,6467337
34000,469068,6749260
35000,484500,6930514
36000,499928,7143157
37000,515348,7293776
38000,530806,7554545
39000,546308,7768514
40000,561805,7996781
41000,577294,8121228
42000,592883,8395667
43000,608518,8544675
44000,624095,8835579
45000,639724,9012642
46000,655365,9259825
47000,671014,9673080
48000,686704,9909530
49000,702351,10021446
50000,718166,10220946
